股票名稱,股數,總損益,交易別,成交均價,市價,現值,付出成本,預估損益,報酬率,幣別
"元大台灣50","523","10,824","現股","42.35","63.15","32,982","22,158","10,824","48.85%","台幣"
"元大高股息","69","725","現股","26.0","36.78","2,526","1,801","725","40.26%","台幣"
"富邦台50","15","1,253","現股","63.6","147.55","2,209","956","1,253","131.07%","台幣"
"國泰中國A50","300","1,121","現股","22.25","26.08","7,814","6,693","1,121","16.75%","台幣"
"富邦日本","73","1,431","現股","25.85","45.66","3,324","1,893","1,431","75.59%","台幣"
"國泰日經225","105","2,692","現股","33.24","59.15","6,192","3,500","2,692","76.91%","台幣"
"國泰20年美債","658","-670","現股","29.63","28.68","18,860","19,530","-670","-3.43%","台幣"
"富邦公司治理","178","4,412","現股","31.9","56.8","10,096","5,684","4,412","77.62%","台幣"
"富邦臺灣中小","115","1,052","現股","37.14","46.64","5,341","4,289","1,052","24.53%","台幣"
"中信美國公債20年","100","-257","現股","30.32","27.85","2,780","3,037","-257","-8.46%","台幣"
"國泰永續高股息","120","408","現股","17.85","21.46","2,560","2,152","408","18.96%","台幣"
"永豐美國科技","249","4,298","現股","19.85","37.39","9,265","4,967","4,298","86.53%","台幣"
"國泰智能電動車","280","5,318","現股","13.64","32.76","9,152","3,834","5,318","138.71%","台幣"
"中信小資高價30","260","3,575","現股","12.97","26.86","6,962","3,387","3,575","105.55%","台幣"
"中信綠能及電動車","20","110","現股","13.6","19.34","384","274","110","40.15%","台幣"
"中信電池及儲能","460","-108","現股","13.27","13.12","6,012","6,120","-108","-1.76%","台幣"
"台泥","217","-1,900","現股","29.72","21.1","4,559","6,459","-1,900","-29.42%","台幣"
"亞泥","474","-3,806","現股","43.53","35.7","16,851","20,657","-3,806","-18.42%","台幣"
"味王","116","-1,070","現股","48.73","39.7","4,588","5,658","-1,070","-18.91%","台幣"
"大成","51","207","現股","49.14","53.6","2,721","2,514","207","8.23%","台幣"
"卜蜂","7","442","現股","76.0","140.0","976","534","442","82.77%","台幣"
"統一","20","193","現股","67.9","78.1","1,554","1,361","193","14.18%","台幣"
"佳格","80","-1,037","現股","43.96","31.2","2,486","3,523","-1,037","-29.44%","台幣"
"聯華","5","-21","現股","52.6","48.8","243","264","-21","-7.95%","台幣"
"聯華食","25","1,325","現股","55.32","109.0","2,713","1,388","1,325","95.46%","台幣"
"大統益","25","-187","現股","150.96","144.5","3,597","3,784","-187","-4.94%","台幣"
"黑松","35","86","現股","34.11","36.9","1,284","1,198","86","7.18%","台幣"
"安心","6","-10","現股","61.0","60.3","358","368","-10","-2.72%","台幣"
"台塑","515","-5,832","現股","47.98","36.85","18,899","24,731","-5,832","-23.58%","台幣"
"南亞","335","-1,299","現股","44.7","41.0","13,686","14,985","-1,299","-8.67%","台幣"
"台聚","40","-469","現股","21.73","10.1","402","871","-469","-53.85%","台幣"
"三芳","205","454","現股","28.73","31.15","6,355","5,901","454","7.69%","台幣"
"亞聚","20","-250","現股","24.5","12.1","241","491","-250","-50.92%","台幣"
"台達化","520","-877","現股","11.99","10.35","5,363","6,240","-877","-14.05%","台幣"
"永裕","60","-847","現股","33.48","19.65","1,168","2,015","-847","-42.03%","台幣"
"遠東新","226","-938","現股","30.58","26.65","5,992","6,930","-938","-13.54%","台幣"
"新纖","255","-94","現股","13.59","13.3","3,378","3,472","-94","-2.71%","台幣"
"大魯閣","270","387","現股","15.94","17.45","4,695","4,308","387","8.98%","台幣"
"華友聯","6","-440","現股","138.33","65.7","391","831","-440","-52.95%","台幣"
"聚陽","19","709","現股","238.53","277.0","5,245","4,536","709","15.63%","台幣"
"東元","95","7,722","現股","29.22","111.0","10,508","2,786","7,722","277.17%","台幣"
"中興電","30","1,957","現股","85.47","151.5","4,526","2,569","1,957","76.18%","台幣"
"華城","13","5,656","現股","347.23","785.0","10,173","4,517","5,656","125.22%","台幣"
"亞崴","50","-93","現股","28.4","26.65","1,328","1,421","-93","-6.54%","台幣"
"中宇","50","205","現股","49.7","54.0","2,691","2,486","205","8.25%","台幣"
"伸興","2","-78","現股","130.0","92.3","183","261","-78","-29.89%","台幣"
"中砂","15","2,238","現股","158.67","309.0","4,620","2,382","2,238","93.95%","台幣"
"巧新","10","-149","現股","59.5","45.0","448","597","-149","-24.96%","台幣"
"興農","40","787","現股","22.75","42.6","1,698","911","787","86.39%","台幣"
"和桐","500","231","現股","7.76","8.25","4,110","3,879","231","5.96%","台幣"
"生達","75","172","現股","53.65","56.2","4,201","4,029","172","4.27%","台幣"
"中碳","13","-428","現股","112.15","80.2","1,035","1,463","-428","-29.25%","台幣"
"永記","11","40","現股","70.64","75.0","820","780","40","5.13%","台幣"
"花仙子","23","-286","現股","64.52","52.8","1,205","1,491","-286","-19.18%","台幣"
"美吾華","272","866","現股","18.78","22.15","5,991","5,125","866","16.90%","台幣"
"寶齡富錦","21","61","現股","61.33","64.6","1,351","1,290","61","4.73%","台幣"
"中化生","5","-343","現股","93.2","25.05","124","467","-343","-73.45%","台幣"
"潤隆","24","354","現股","23.42","38.55","918","564","354","62.77%","台幣"
"凱撒衛","15","31","現股","35.67","38.1","568","537","31","5.77%","台幣"
"士紙","63","-361","現股","58.73","53.5","3,352","3,713","-361","-9.72%","台幣"
"正隆","15","-232","現股","32.0","16.8","250","482","-232","-48.13%","台幣"
"中鋼","1,955","-6,984","現股","21.59","18.1","35,258","42,242","-6,984","-16.53%","台幣"
"第一銅","227","743","現股","36.45","39.9","9,025","8,282","743","8.97%","台幣"
"川湖","7","4,207","現股","3588.57","4205.0","29,336","25,129","4,207","16.74%","台幣"
"國際中橡","14","-229","現股","25.93","10.15","137","366","-229","-62.57%","台幣"
"厚生","9","8","現股","22.22","23.35","209","201","8","3.98%","台幣"
"和泰車","6","-327","現股","630.0","578.0","3,456","3,783","-327","-8.64%","台幣"
"宇隆","7","694","現股","103.14","203.5","1,418","724","694","95.86%","台幣"
"光寶科","2","209","現股","63.0","169.0","336","127","209","164.57%","台幣"
"聯電","135","407","現股","43.81","47.1","6,332","5,925","407","6.87%","台幣"
"台達電","10","6,663","現股","297.5","967.0","9,640","2,977","6,663","223.82%","台幣"
"鴻海","76","8,962","現股","127.96","247.0","18,707","9,745","8,962","91.97%","台幣"
"仁寶","1,005","4,533","現股","27.47","32.1","32,151","27,618","4,533","16.41%","台幣"
"國巨*","10","486","現股","184.0","233.5","2,327","1,841","486","26.40%","台幣"
"台積電","32","31,921","現股","457.53","1460.0","46,575","14,654","31,921","217.83%","台幣"
"智邦","7","-502","現股","1112.86","1045.0","7,291","7,793","-502","-6.44%","台幣"
"聯強","36","-83","現股","57.97","56.0","2,008","2,091","-83","-3.97%","台幣"
"宏碁","100","99","現股","29.0","30.1","3,000","2,901","99","3.41%","台幣"
"鴻準","40","44","現股","67.0","68.4","2,726","2,682","44","1.64%","台幣"
"英業達","15","-118","現股","51.0","43.55","649","767","-118","-15.38%","台幣"
"廷鑫","20","-301","現股","15.0","0.0","0","301","-301","-100.00%","台幣"
"大同","147","142","現股","33.66","34.75","5,092","4,950","142","2.87%","台幣"
"震旦行","1,012","-4,914","現股","61.24","56.6","57,085","61,999","-4,914","-7.93%","台幣"
"技嘉","23","3,981","現股","92.65","267.0","6,118","2,137","3,981","186.29%","台幣"
"微星","5","-196","現股","142.0","103.5","515","711","-196","-27.57%","台幣"
"瑞昱","12","753","現股","438.33","503.0","6,015","5,262","753","14.31%","台幣"
"廣達","29","2,056","現股","217.48","289.5","8,367","6,311","2,056","32.58%","台幣"
"群光","2","75","現股","90.0","128.5","256","181","75","41.44%","台幣"
"正崴","2,100","-18,832","現股","55.64","46.85","98,052","116,884","-18,832","-16.11%","台幣"
"中華電","36","389","現股","120.61","132.0","4,737","4,348","389","8.95%","台幣"
"錩新","26","-19","現股","24.81","24.35","628","647","-19","-2.94%","台幣"
"固緯","9","247","現股","24.33","52.3","468","221","247","111.76%","台幣"
"偉詮電","32","190","現股","40.59","46.9","1,493","1,303","190","14.58%","台幣"
"神腦","27","-91","現股","31.81","28.9","773","864","-91","-10.53%","台幣"
"聯發科","7","1,378","現股","1128.57","1330.0","9,281","7,903","1,378","17.44%","台幣"
"盟立","20","165","現股","52.7","61.2","1,220","1,055","165","15.64%","台幣"
"揚博","5","255","現股","39.2","90.9","452","197","255","129.44%","台幣"
"太子","1,125","-2,134","現股","10.75","8.93","9,989","12,123","-2,134","-17.60%","台幣"
"興富發","70","155","現股","36.07","38.55","2,683","2,528","155","6.13%","台幣"
"長榮","13","2,403","現股","0.0","185.5","2,403","0","2,403","0.00%","台幣"
"榮運","50","-470","現股","67.02","57.8","2,881","3,351","-470","-14.03%","台幣"
"嘉里大榮","100","-32","現股","34.2","34.0","3,389","3,421","-32","-0.94%","台幣"
"台灣高鐵","150","-464","現股","30.45","27.5","4,110","4,574","-464","-10.14%","台幣"
"漢翔","15","374","現股","28.4","53.7","802","428","374","87.38%","台幣"
"王品","5","73","現股","201.4","217.0","1,081","1,008","73","7.24%","台幣"
"雄獅","22","575","現股","130.45","157.5","3,450","2,875","575","20.00%","台幣"
"六角","12","-535","現股","116.33","72.3","863","1,398","-535","-38.27%","台幣"
"路易莎咖啡","24","-253","現股","101.25","91.2","2,180","2,433","-253","-10.40%","台幣"
"彰銀","154","291","現股","18.34","20.35","3,118","2,827","291","10.29%","台幣"
"台中銀","107","451","現股","17.24","21.55","2,297","1,846","451","24.43%","台幣"
"臺企銀","23","151","現股","8.61","15.4","350","199","151","75.88%","台幣"
"三商壽","6,201","15,252","現股","4.64","7.13","44,046","28,794","15,252","52.97%","台幣"
"華南金","15","125","現股","21.07","29.7","443","318","125","39.31%","台幣"
"富邦金","5","205","現股","49.0","90.6","451","246","205","83.33%","台幣"
"國泰金","70","1,223","現股","46.2","64.1","4,468","3,245","1,223","37.69%","台幣"
