股票名稱,股數,總損益,交易別,成交均價,市價,現值,付出成本,預估損益,報酬率,幣別
"元大台灣50","523","10,927","現股","42.35","63.35","33,085","22,158","10,927","49.31%","台幣"
"元大高股息","69","752","現股","26.0","37.13","2,553","1,801","752","41.75%","台幣"
"富邦台50","15","1,267","現股","63.6","148.45","2,223","956","1,267","132.53%","台幣"
"國泰中國A50","300","1,238","現股","22.25","26.47","7,931","6,693","1,238","18.50%","台幣"
"富邦日本","73","1,459","現股","25.85","46.01","3,352","1,893","1,459","77.07%","台幣"
"國泰日經225","105","2,682","現股","33.24","59.05","6,182","3,500","2,682","76.63%","台幣"
"國泰20年美債","658","-565","現股","29.63","28.84","18,965","19,530","-565","-2.89%","台幣"
"富邦公司治理","178","4,483","現股","31.9","57.2","10,167","5,684","4,483","78.87%","台幣"
"富邦臺灣中小","115","1,236","現股","37.14","48.2","5,525","4,289","1,236","28.82%","台幣"
"中信美國公債20年","100","-242","現股","30.32","28.0","2,795","3,037","-242","-7.97%","台幣"
"國泰永續高股息","120","432","現股","17.85","21.66","2,584","2,152","432","20.07%","台幣"
"永豐美國科技","249","4,475","現股","19.85","38.06","9,442","4,967","4,475","90.09%","台幣"
"國泰智能電動車","280","5,476","現股","13.64","33.34","9,310","3,834","5,476","142.83%","台幣"
"中信小資高價30","260","3,550","現股","12.97","26.79","6,937","3,387","3,550","104.81%","台幣"
"中信綠能及電動車","20","120","現股","13.6","19.89","394","274","120","43.80%","台幣"
"中信電池及儲能","460","-134","現股","13.27","13.06","5,986","6,120","-134","-2.19%","台幣"
"台泥","217","-1,531","現股","29.72","22.8","4,928","6,459","-1,531","-23.70%","台幣"
"亞泥","474","-3,427","現股","43.53","36.5","17,230","20,657","-3,427","-16.59%","台幣"
"味王","116","-1,081","現股","48.73","39.6","4,577","5,658","-1,081","-19.11%","台幣"
"大成","51","186","現股","49.14","53.2","2,700","2,514","186","7.40%","台幣"
"卜蜂","7","424","現股","76.0","137.5","958","534","424","79.40%","台幣"
"統一","20","212","現股","67.9","79.0","1,573","1,361","212","15.58%","台幣"
"佳格","80","-1,035","現股","43.96","31.25","2,488","3,523","-1,035","-29.38%","台幣"
"聯華","5","-25","現股","52.6","48.15","239","264","-25","-9.47%","台幣"
"聯華食","25","1,425","現股","55.32","113.0","2,813","1,388","1,425","102.67%","台幣"
"大統益","25","-148","現股","150.96","146.0","3,636","3,784","-148","-3.91%","台幣"
"黑松","35","107","現股","34.11","37.55","1,305","1,198","107","8.93%","台幣"
"安心","6","-12","現股","61.0","59.8","356","368","-12","-3.26%","台幣"
"台塑","515","-4,362","現股","47.98","39.7","20,369","24,731","-4,362","-17.64%","台幣"
"南亞","335","-897","現股","44.7","42.2","14,088","14,985","-897","-5.99%","台幣"
"台聚","40","-427","現股","21.73","11.15","444","871","-427","-49.02%","台幣"
"三芳","205","478","現股","28.73","31.25","6,379","5,901","478","8.10%","台幣"
"亞聚","20","-228","現股","24.5","13.2","263","491","-228","-46.44%","台幣"
"台達化","520","-435","現股","11.99","11.2","5,805","6,240","-435","-6.97%","台幣"
"永裕","60","-842","現股","33.48","19.7","1,173","2,015","-842","-41.79%","台幣"
"遠東新","226","-849","現股","30.58","27.05","6,081","6,930","-849","-12.25%","台幣"
"新纖","255","160","現股","13.59","14.3","3,632","3,472","160","4.61%","台幣"
"大魯閣","270","414","現股","15.94","17.55","4,722","4,308","414","9.61%","台幣"
"華友聯","6","-452","現股","138.33","63.6","379","831","-452","-54.39%","台幣"
"聚陽","19","804","現股","238.53","282.0","5,340","4,536","804","17.72%","台幣"
"東元","95","8,197","現股","29.22","116.0","10,983","2,786","8,197","294.22%","台幣"
"中興電","30","1,897","現股","85.47","149.5","4,466","2,569","1,897","73.84%","台幣"
"華城","8","4,262","現股","83.0","618.0","4,928","666","4,262","639.94%","台幣"
"亞崴","50","-74","現股","28.4","27.05","1,347","1,421","-74","-5.21%","台幣"
"中宇","50","265","現股","49.7","55.2","2,751","2,486","265","10.66%","台幣"
"伸興","2","-82","現股","130.0","90.3","179","261","-82","-31.42%","台幣"
"中砂","15","2,298","現股","158.67","313.0","4,680","2,382","2,298","96.47%","台幣"
"巧新","10","-121","現股","59.5","47.85","476","597","-121","-20.27%","台幣"
"興農","40","817","現股","22.75","43.35","1,728","911","817","89.68%","台幣"
"和桐","500","236","現股","7.76","8.26","4,115","3,879","236","6.08%","台幣"
"生達","75","127","現股","53.65","55.6","4,156","4,029","127","3.15%","台幣"
"中碳","13","-401","現股","112.15","82.4","1,062","1,463","-401","-27.41%","台幣"
"永記","11","42","現股","70.64","75.2","822","780","42","5.38%","台幣"
"花仙子","23","-299","現股","64.52","52.3","1,192","1,491","-299","-20.05%","台幣"
"美吾華","272","778","現股","18.78","21.8","5,903","5,125","778","15.18%","台幣"
"寶齡富錦","21","93","現股","61.33","66.1","1,383","1,290","93","7.21%","台幣"
"中化生","5","-338","現股","93.2","26.0","129","467","-338","-72.38%","台幣"
"潤隆","24","296","現股","23.42","36.15","860","564","296","52.48%","台幣"
"凱撒衛","15","34","現股","35.67","38.35","571","537","34","6.33%","台幣"
"士紙","63","-226","現股","58.73","55.6","3,487","3,713","-226","-6.09%","台幣"
"正隆","15","-226","現股","32.0","17.25","256","482","-226","-46.89%","台幣"
"中鋼","1,955","-5,331","現股","21.59","18.95","36,911","42,242","-5,331","-12.62%","台幣"
"第一銅","127","1,228","現股","32.55","42.45","5,369","4,141","1,228","29.65%","台幣"
"川湖","2","3,673","現股","2010.0","3860.0","7,694","4,021","3,673","91.35%","台幣"
"國際中橡","14","-221","現股","25.93","10.65","145","366","-221","-60.38%","台幣"
"厚生","9","12","現股","22.22","23.85","213","201","12","5.97%","台幣"
"和泰車","6","-339","現股","630.0","576.0","3,444","3,783","-339","-8.96%","台幣"
"宇隆","7","684","現股","103.14","202.0","1,408","724","684","94.48%","台幣"
"光寶科","2","248","現股","63.0","188.5","375","127","248","195.28%","台幣"
"聯電","135","262","現股","43.81","46.0","6,187","5,925","262","4.42%","台幣"
"台達電","10","7,737","現股","297.5","1075.0","10,714","2,977","7,737","259.89%","台幣"
